Name,Side,Source,Ability,Effect,Receives,Reach,Lasts,Condition,Values_D3,Needs_Review,Notes,Ability_Text
Aun'Shi,Attack,Active,Inspired to Greatness,reuse:active,all,one,once,active,L36: ally uses their active again | L50: ally uses their active again,N,Lets one adjacent ally use their active a second time (at the lower of the two levels). Counted as that ally's active again (owner agreed).,"Enables a friendly unit in an adjacent hex to use their active ability again in this battle and heals or repairs it for {[hpToHeal]} Health. For this second use, the ability is at the lowest of its own level and that of Inspired to Greatness. If that unit has not used their active ability yet, then {[hpToHeal_2]} Health is restored instead."
Azkor,Attack,Passive,Beacon Of Rage,flat:extraDmg:melee:mult=4@trig,Chaos,adjacent,battle,trig,"L36: +384 Damage [melee, All triggered] | L50: +1,200 Damage [melee, All triggered]",N,"Only after Azkor has killed an enemy, and it grows with the times he has been attacked (up to 8). All triggered only, at the maximum (half of 8 x extraDmg) (owner agreed).","For each time he was attacked in battle, up to a maximum of {[nrOfAttacks]} times, Azkor deals +{[extraDmg]} Damage. If Azkor has defeated an enemy in this battle, 50% of the extra damage granted by Beacon of Rage is added to the damage of melee attacks of adjacent friendly Chaos units."
Baldr,Attack,Passive,Healing Balms,critchance:extraCritChance; critdmg:extraCritDmg,all,one,2 rounds,always,L36: +20% crit chance; +270 Crit Damage | L50: +20% crit chance; +797 Crit Damage,N,"Needs Baldr to use his action to heal (instead of attacking). Unlike Aethana, the text does not say ""if they have one"", so it gives crits without gear. Counted as always (owner, September 2026).","When Baldr uses his action to heal a friendly unit, the healed unit has +{[extraCritChance]}% Crit Chance and deals +{[extraCritDmg]} Crit Damage for {[nrOfRounds]} rounds. At the start of its next turn, the affected unit is also healed for {[hpToHeal]} Health. Baldr can heal friendly units even if they are at full Health."
Baldr,Attack,Active,Rites of Morkai,flat:extraDmg:all:who=FinalJustice,all,adjacent,1 round,active,L36: +270 Damage [who FinalJustice] | L50: +797 Damage [who FinalJustice],N,"Only allies with Final Vengeance (FinalJustice in the game data), and not Mechanical ones. The revive is Defence side.","Baldr and all surrounding friendly non-mechanical units become Inspired for {[nrOfRounds]} round or until they are revived. The first time each inspired unit would be defeated, it is instead revived with a maximum of {[hp]} Health, unless Overkilled. Inspired units with Final Vengeance deal +{[extraDmg]} Damage with all attacks. After using this ability, Baldr immediately performs a normal melee attack against an adjacent enemy."
Boss Gulgortz,Attack,Active,Waaagh!,flat:extraDmg:normal-melee:who=Orks:reach=team; hits:extraHit:normal-melee:who=Orks:reach=team; flat:extraDmg:normal-melee:who=!Orks; hits:extraHit:normal-melee:who=!Orks,all,adjacent,turn,active,"L36: +270 Damage [normal-melee, who Orks, reach team]; +1 hit(s) [normal-melee, who Orks, reach team]; +270 Damage [normal-melee, who !Orks]; +1 hit(s) [normal-melee, who !Orks] | L50: +797 Damage [normal-melee, who Orks, reach team]; +1 hit(s) [normal-melee, who Orks, reach team]; +797 Damage [normal-melee, who !Orks]; +1 hit(s) [normal-melee, who !Orks]",N,"All Orks anywhere, plus anyone next to him. The summoned Ork Boyz are not counted.","If Boss Gulgortz has not moved, he summons {[nrOfSummons]} Ork Boyz in free adjacent hexes. Until the end of this turn, all friendly Orks and friendly units adjacent to Boss Gulgortz gain +{[extraMovement]} Movement and their normal melee attacks deal +{[extraDmg]} Damage and score an additional hit. Boss Gulgortz then charges a targeted enemy in movement range, performing a normal melee attack against it. All friendly Ork Boyz take a turn. Ork Boyz' stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Commander Farsight,Attack,Passive,Way of the Short Blade,armignore:armorIgnored:normal-ranged:notype=Psychic; pct:extraDmgPct:normal-ranged:notype=Psychic; follow::melee:who=Tau Empire,all,2 hexes,battle,always,"L36: +236 Armour ignored [normal-ranged, notype Psychic]; +30% damage [normal-ranged, notype Psychic]; free ranged attack after melee [melee, who Tau Empire] | L50: +698 Armour ignored [normal-ranged, notype Psychic]; +30% damage [normal-ranged, notype Psychic]; free ranged attack after melee [melee, who Tau Empire]",N,"Ranged attacks against an enemy next to a friendly character: counted as always, since the team's target usually is. T'au characters also get a free ranged attack after each melee attack (owner agreed).","Normal ranged attacks of other friendly Characters within {[range]} hexes against enemies that are adjacent to a friendly Character ignore {[armorIgnored]} Armour and deal +{[extraDmgPct]}% Damage, except attacks that deal Psychic Damage. Commander Farsight and other friendly T'au Empire Characters within {[range]} hexes that perform a melee attack immediately perform a normal ranged attack against the same unit, even if they are adjacent to it."
Commander Farsight,Attack,Active,Exemplar of the Mont'ka,flat:extraDmg:normal:vs=!BigTarget; flat:extraDmg_2:normal:vs=BigTarget,has:ranged,team,turn,active,"L36: +202 Damage [normal, vs !BigTarget]; +437 Damage [normal, vs BigTarget] | L50: +599 Damage [normal, vs !BigTarget]; +1,298 Damage [normal, vs BigTarget]",N,"Every friendly character with a normal ranged attack, on all their normal attacks. More against Big Targets.","Until the end of this turn, Commander Farsight and all other friendly Characters with a normal ranged attack gain Unstoppable and all their normal attacks deal +{[extraDmg]} Damage. When attacking a Big Target, they deal +{[extraDmg_2]} Damage instead. Using Exemplar of the Mont'ka does not end Commander Farsight's turn."
Commander Shadowsun,Attack,Passive,Defender of the Greater Good,flat:extraDmg:ranged:notype=Psychic:who=!Tau Empire; hits:extraHit:ranged:notype=Psychic:chance=chance:who=!Tau Empire; flat:extraDmg:ranged:notype=Psychic:who=Tau Empire:reach=2 hexes; hits:extraHit:ranged:notype=Psychic:chance=chance:who=Tau Empire:reach=2 hexes,all,adjacent,battle,always,"L36: +169 Damage [ranged, notype Psychic, who !Tau Empire]; +1 hit(s) (25% chance) [ranged, notype Psychic, who !Tau Empire]; +169 Damage [ranged, notype Psychic, who Tau Empire, reach 2 hexes]; +1 hit(s) (25% chance) [ranged, notype Psychic, who Tau Empire, reach 2 hexes] | L50: +499 Damage [ranged, notype Psychic, who !Tau Empire]; +1 hit(s) (25% chance) [ranged, notype Psychic, who !Tau Empire]; +499 Damage [ranged, notype Psychic, who Tau Empire, reach 2 hexes]; +1 hit(s) (25% chance) [ranged, notype Psychic, who Tau Empire, reach 2 hexes]",N,"The extra-hit chance is 25% for each round she has been on the battlefield. 25% in Always-on, 100% (round 4 on) in All triggered (owner agreed). Her Command-Link Drone also carries the aura (not counted).","Friendly units adjacent to Shadowsun or her Command-Link Drone deal +{[extraDmg]} Damage with ranged attacks, except attacks that deal Psychic Damage. Affected attacks also have a chance to score an additional hit. This chance is {[chance]}% for each round in which Shadowsun has been on the battlefield. Friendly T'au Empire units within 2 hexes of Shadowsun or her Command-Link Drone are also affected by this ability."
Commissar Yarrick,Attack,Passive,Summary Execution,flat:extraDmg; flat:extraDmg_2@trig,BattleFatigue,team,battle,always,L36: +135 Damage; +67 Damage [All triggered] | L50: +400 Damage; +202 Damage [All triggered],N,"Only units with Battle Fatigue, and no playable character has that trait (it is on summons like Cadian Guardsmen), so it adds nothing to the roster. The second bonus needs one of them to be executed.","Friendly units with Battle Fatigue gain +{[extraDmg]} Damage. The first time a friendly unit would flee due to Battle Fatigue, it is executed instead and all other friendly units with the trait ignore it and gain an additional +{[extraDmg_2]} Damage."
Dante,Attack,Passive,Lord of the Host,flat:extraDmg:melee; hits:extraHit:melee@trig,RapidAssault|Flying,2 hexes,battle,always,"L36: +304 Damage [melee]; +1 hit(s) [melee, All triggered] | L50: +898 Damage [melee]; +1 hit(s) [melee, All triggered]",N,Only allies with Rapid Assault or Flying. The extra hit needs them at or below 50% health (All triggered).,Other friendly units within {[range]} hexes with Rapid Assault or Flying deal +{[extraDmg]} Damage with melee attacks. Affected units that are at or below {[healthPct]}% Health also score an additional hit with melee attacks.
Darkstrider,Attack,Passive,Structural Analyser,flat:extraDmg:ranged:who=!Tau Empire; flat:extraDmg:ranged:who=Tau Empire:reach=2 hexes,all,adjacent,battle,always,"L36: +337 Damage [ranged, who !Tau Empire]; +337 Damage [ranged, who Tau Empire, reach 2 hexes] | L50: +997 Damage [ranged, who !Tau Empire]; +997 Damage [ranged, who Tau Empire, reach 2 hexes]",N,"Ranged attacks against an enemy with a Markerlight; Darkstrider's ranged attack gives one. Needs the support to hit the target first; counted as always, since the team focuses one enemy (owner, September 2026).",Units hit by ranged attacks from Darkstrider receive a Markerlight for one round. Friendly units adjacent to Darkstrider deal +{[extraDmg]} Damage with ranged attacks against targets with a Markerlight. Friendly T'au Empire units within 2 hexes of Darkstrider are also affected.
Eldryon,Attack,Passive,Doom,taken:extraDmg:normal:who=!Aeldari@trig; flat:extraDmg_2:all:who=Aeldari@trig,all,target,battle,trig,"L36: +304 Damage taken [normal, who !Aeldari, All triggered]; +405 Damage [who Aeldari, All triggered] | L50: +898 Damage taken [normal, who !Aeldari, All triggered]; +1,197 Damage [who Aeldari, All triggered]",N,"Only against enemies exactly 2 hexes from Eldryon, so it depends on positioning: All triggered only (owner, September 2026).",All enemy units exactly {[range]} hexes away from Eldryon take +{[extraDmg]} Damage from other friendly unit's normal attacks. Other friendly Aeldari units deal +{[extraDmg_2]} Damage with all their attacks to affected units instead.
Exitor-Rho,Attack,Passive,Optimised Gait,partner:2xEnergy(minDmg-maxDmg),Mechanical,target,battle,always,"L36: +2x Energy 860 | L50: +2x Energy 2,542",N,"Exitor-Rho's own hits, triggered each time a Mechanical ally attacks an enemy next to him. Counted as extra damage on those allies' attacks (owner agreed).","Whenever an enemy adjacent to Exitor-Rho is attacked by another friendly Mechanical unit, Exitor-Rho deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Energy Damage to that enemy. If an enemy adjacent to Exitor-Rho is defeated by a friendly Mechanical unit or an attack triggered from this ability, Exitor-Rho moves onto its hex."
Haarken Worldclaimer,Attack,Active,Herald of the Apocalypse,taken:extraDmg:all:reach=next attack,all,next attack,next attack,active,"L36: +607 Damage taken [reach next attack] | L50: +1,795 Damage taken [reach next attack]",N,The next attack against the target (and the enemy behind it) gets the bonus.,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Piercing Damage to an adjacent enemy and an additional enemy directly behind the target. Affected enemies receive +{[extraDmg]} Damage from the next attack made by a unit against them. Also triggers Battle Fatigue for all enemy units within {[range]} hexes of the original target.
Havyr,Attack,Active,Augmented Assault,armour:armorReduction,all,target,battle,active,L36: -337 enemy Armour | L50: -997 enemy Armour,N,"Armour reduction for the rest of the battle. It does nothing for Havyr himself, who already ignores armour.",Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerate to an adjacent enemy unit and reduces its Armour by {[armorReduction]} Armour for the rest of the battle. Using Augmented Assault does not end Hâvyr's turn.
High Marshal Helbrecht,Attack,Passive,Destroy The Witch,flat:extraDmg:melee:vs=Psyker,all,adjacent,battle,always,"L36: +506 Damage [melee, vs Psyker] | L50: +1,496 Damage [melee, vs Psyker]",N,Only melee attacks against Psykers.,Gains +{[extraMovement]} Movement when there’s an enemy Psyker on the battlefield. This unit and friendly adjacent units deal +{[extraDmg]} Damage with melee attacks against Psykers.
High Marshal Helbrecht,Attack,Active,Crusade Of Wrath,flat:extraDmg:melee; pierce:extraPierceRatio:melee,all,2 hexes,2 rounds,active,L36: +169 Damage [melee]; +24% pierce [melee] | L50: +499 Damage [melee]; +24% pierce [melee],N,"+Damage and +24% pierce ratio in melee, whatever the damage type.",All other friendly units within {[range]} hexes gain +{[extraDmg]} Damage and +{[extraPierceRatio]}% pierce ratio in melee – regardless of Damage type – for this round and the next. High Marshal Helbrecht immediately performs a normal melee attack against a random adjacent enemy.
Hollan,Attack,Passive,Twisted Science,flat:extraDmg,Genestealer Cults,one,battle,always,L36: +169 Damage | L50: +499 Damage,N,"Needs Hollan to heal them (his action), but it lasts until they die, so over a battle several allies get it. Counted as one ally, as always (owner agreed).","Units healed by Hollan, other than himself, are affected by Twisted Science until they are defeated. Hollan can heal other unaffected units even if they are at full Health. Affected units immediately gain {[hp]} Health and their maximum Health increases by the same amount. If they are a Genestealer Cults unit, they also deal +{[extraDmg]} Damage while affected. Affected units cannot gain the effects of Twisted Science again."
Isaak,Attack,Passive,Decoys and Misdirection,flat:extraDmg@trig,all,one,turn,trig,L36: +270 Damage [All triggered] | L50: +797 Damage [All triggered],N,Only when an ally moves or resurrects onto a decoy.,"When an enemy moves onto a friendly decoy, it takes {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Blast Damage. When a friendly unit resurrects onto or moves onto a friendly decoy, it deals +{[extraDmg]} Damage until the end of its turn, and if it is a Genestealer Cults unit, it also places a new decoy in a free adjacent hex."
Lhykhis,Attack,Passive,Whispering Web,ramp:extraDmg,all,target,battle,always,L36: +148 more per hit | L50: +439 more per hit,N,"Each hit in an attack does more than the last, so it is worth most to many-hit allies. Needs the support to hit the target first; counted as always, since the team focuses one enemy (owner, September 2026).","When Lhykhis performs a normal ranged attack against an enemy, that enemy is affected by Whispering Web until Lhykhis is defeated or performs a normal ranged attack against a different unit. When a friendly character attacks an affected enemy, each hit in the same attack deals +{[extraDmg]} more Damage than the previous hit."
Lhykhis,Attack,Active,Empyric Ambush,critchance:extraCritChance:all:who=Aeldari; critdmg:extraCritDmg:all:who=Aeldari; critchance:extraCritChance:all:who=!Aeldari@trig; critdmg:extraCritDmg:all:who=!Aeldari@trig,all,target,turn,active,"L36: +25% crit chance [who Aeldari]; +337 Crit Damage [who Aeldari]; +25% crit chance [who !Aeldari, All triggered]; +337 Crit Damage [who !Aeldari, All triggered] | L50: +25% crit chance [who Aeldari]; +997 Crit Damage [who Aeldari]; +25% crit chance [who !Aeldari, All triggered]; +997 Crit Damage [who !Aeldari, All triggered]",N,"Aeldari always; other characters only if they moved 4+ hexes (All triggered). Gives crits without gear (owner, September 2026).","Lhykhis moves adjacent to an enemy unit on the battlefield that has a free adjacent hex and deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerate to it. Until the end of this turn, attacks against the target of Empyric Ambush made by other friendly characters that are Aeldari or traversed {[movement]} or more hexes this turn have +{[extraCritChance]}% Crit Chance and deal {[extraCritDmg]} Crit Damage. When Lhykhis defeats an enemy with a normal melee attack, and Empyric Ambush has already been used, then Empyric Ambush can be used again in this battle. Initial cooldown: {[initialCooldownTurns]} round."
Lysander,Attack,Passive,Icon of Obstinacy,flat:extraDmg; dmgfromblock:chance,TerminatorArmour,adjacent,battle,always,L36: +135 Damage; +30% of Block Damage as Damage | L50: +400 Damage; +30% of Block Damage as Damage,N,Only Terminator Armour allies. The Block Damage part only matters with gear. The Armour part is Defence side.,"Lysander and all friendly adjacent Terminator Armour units deal +{[extraDmg]} Damage. When they end their turn without attacking, they also have +{[extraArmor]} Armour until the beginning of their next turn. The additional Damage and Armour are further increased by {[chance]}% of the affected unit's current Block Damage value."
Marneus Calgar,Attack,Passive,Rites of Battle,flat:extraDmg:all:who=!Imperial; flat:extraDmg_2:all:who=Imperial,all,adjacent,battle,always,"L36: +304 Damage [who !Imperial]; +437 Damage [who Imperial] | L50: +898 Damage [who !Imperial]; +1,298 Damage [who Imperial]",N,Imperials get the bigger bonus instead.,Adjacent friendly units gain +{[extraDmg]} Damage. Imperial units gain +{[extraDmg_2]} Damage instead.
Mephiston,Attack,Active,The Quickening,attack:dmgPct:melee:cap=maxDmg,Blood Angels,one,once,active,"L36: +120% Damage extra attack (max 1,687 a hit) [melee] | L50: +120% Damage extra attack (max 4,986 a hit) [melee]",N,The ally Mephiston swaps places with makes a normal melee attack at 120% Damage (capped per hit).,"Targets a hex within movement range {[range]} that is neither occupied by an enemy nor by a friendly unit in Deep Strike. Mephiston moves onto that hex. If a friendly unit is on that hex, that unit moves to Mephiston's previous location. All Blood Angels moving this way perform a normal melee attack after they move, dealing {[dmgPct]}% of their own damage to a maximum of {[maxDmg]} Damage. Units moving this way do not trigger Overwatch or other movement related reactions."
Nicodemus,Attack,Active,Blood Chalice,pierce:extraPierceRatio:melee,all,adjacent,until his next turn,active,L36: +20% pierce [melee] | L50: +20% pierce [melee],N,"Not Mechanical allies. It also sets them to 50% health, a cost counted on the Defence side, which switches on Dante's below-50% extra hit; that combo is not counted (owner, September 2026).","All adjacent friendly non-mechanical units are set to {[healthPct]}% Health. Until the start of their next turn, affected units gain +{[extraPierceRatio]}% pierce ratio with melee attacks and heal for {[hpToHeal]} Health if they perform a melee attack."
Pestillian,Attack,Passive,Explosive Maladies,extra:1xBlast(extraDmg):normal-ranged; extra:1xBlast(extraDmg):normal-melee:who=Chaos,all,adjacent,battle,always,"L36: +1x Blast 1,012 [normal-ranged]; +1x Blast 1,012 [normal-melee, who Chaos] | L50: +1x Blast 2,992 [normal-ranged]; +1x Blast 2,992 [normal-melee, who Chaos]",N,"An extra Blast hit on normal ranged attacks for anyone next to him, and on melee too for Chaos allies.",Friendly units adjacent to Pestillian deal an additional {[nrOfHits]}x {[extraDmg]} Blast Damage with their normal ranged attacks. Friendly Chaos units adjacent to Pestillian also deal this damage with normal melee attacks. Enemies defeated by affected attacks are always overkilled.
Pestillian,Attack,Active,Foul Infusion,extra:1xToxic(dmg):normal-melee,Chaos,2 hexes,2 rounds,active,"L36: +1x Toxic 943 [normal-melee] | L50: +1x Toxic 2,792 [normal-melee]",N,Chaos allies inside his Contagion aura. The aura counted as 2 hexes (owner agreed).,Pestillian and all friendly Chaos units within his Contagion aura deal an additional {[nrOfHits]}x {[dmg]} Toxic Damage with their normal melee attacks for this round and the next. Pestillian then immediately performs a normal melee attack against a random adjacent enemy.
Ragnar,Attack,Passive,Saga of the Warrior Born,hits:extraHits:melee:who=Space Wolves@trig; critdmg:extraCritDmg:all:who=Space Wolves@trig,Space Wolves,team,battle,trig,"L36: +3 hit(s) [melee, who Space Wolves, All triggered]; +270 Crit Damage [who Space Wolves, All triggered] | L50: +3 hit(s) [melee, who Space Wolves, All triggered]; +797 Crit Damage [who Space Wolves, All triggered]",N,"Space Wolves only get it after Ragnar has killed a character, and only when charging: All triggered only.","When charging, Ragnar scores {[extraHits]} additional hits and his critical hits deal an additional +{[extraCritDmg]} Crit Damage. If Ragnar has defeated one or more enemy Characters this battle, friendly Space Wolves also gain this ability."
Ragnar,Attack,Active,War Howl,critchance:extraCritChance:normal-melee; flat:extraDmg:normal-melee,no:ranged,team,turn,active,"L36: +36% crit chance [normal-melee]; +540 Damage [normal-melee] | L50: +36% crit chance [normal-melee]; +1,595 Damage [normal-melee]",N,"Every friendly character without a normal ranged attack. Only if Ragnar has not moved. Gives crits without gear (owner, September 2026).","If Ragnar has not moved, he and all friendly Characters that don't have a normal ranged attack gain Unstoppable until the end of this turn. Additionally, their normal melee attacks have +{[extraCritChance]}% Crit Chance and deal +{[extraDmg]} Damage until the end of this turn. Using War Howl does not end Ragnar's turn."
