Name,Passive,Attack,Defence,Gear,Needs_Review,Notes,Ability_Text
Azkor,Beacon Of Rage,,,,N,Builds up each time he is attacked.,"For each time he was attacked in battle, up to a maximum of {[nrOfAttacks]} times, Azkor deals +{[extraDmg]} Damage. If Azkor has defeated an enemy in this battle, 50% of the extra damage granted by Beacon of Rage is added to the damage of melee attacks of adjacent friendly Chaos units."
Azrael,Lion Helm,,,blockdmg:blockDmg,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons. Gear: ""friendly units within 2 hexes"" block more; counted for Azrael himself.",Friendly units within {[range]} hexes block an additional {[blockDmg]} Damage when they Block and deal +{[extraDmg]} Damage with attacks triggered by Overwatch. Other friendly Dark Angels within {[range]} hexes also have their Block chance increased by +{[blockChance]}%
Baldr,Healing Balms,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","When Baldr uses his action to heal a friendly unit, the healed unit has +{[extraCritChance]}% Crit Chance and deals +{[extraCritDmg]} Crit Damage for {[nrOfRounds]} rounds. At the start of its next turn, the affected unit is also healed for {[hpToHeal]} Health. Baldr can heal friendly units even if they are at full Health."
Baraqiel,Deathwing,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Each time Baraqiel blocks damage during an attack, all further incoming damage is reduced by {[dmgReduction]} and the damage Baraqiel deals with melee or Plasma Cannon attacks is increased by {[extraDmg]} for 1 round. This effect is doubled against Chaos enemies or when standing adjacent to another friendly Dark Angel."
Bellator,Shock Assault,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Whenever Bellator attacks, any Inceptor adjacent to him also attacks eligible targets, dealing +{[extraDmg]} Damage for this attack."
Boss Gulgortz,Light ’im up!,extra:1,,,N,Second attack after every normal attack.,"After performing a normal attack, Boss Gulgortz performs a second attack against the same enemy, dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Projectile Damage. If the target is defeated, leftover hits are allocated to any random enemy target within {[range]} hexes."
Brother Burchard,Boltstorm,extra:1:ranged,,,N,Extra Bolter hits on normal ranged attacks. Hits on adjacent enemies not counted.,Normal ranged attacks deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Bolter Damage to the target and to each enemy adjacent to the target that is also within range of Brother Burchard. Enemies hit are Suppressed for 1 round.
Brother Jaeger,Martial Superiority,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","If Brother Jaeger gets targeted with a melee attack from an adjacent enemy during the enemy’s turn, he deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to the attacker before the enemy attack executes."
Calandis,Wireweave Net,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","The first time Calandis is targeted by a normal melee attack during the enemy's turn, the attacker immediately takes {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Piercing Damage. If the attacker is eliminated, their melee attack is not executed."
Castellan Creed,Sworn Protector,,guard:summonHp/summonArmor,,N,"Owner-confirmed: Kell swaps in and takes the damage, so attackers get through Kell (his health and Armour) before Creed.","When Lord Castellan Creed is first targeted in battle, Colour Sergeant Kell appears in a free adjacent hex. Any time Creed is attacked, Kell switches hexes with him and takes the Damage instead, if they are adjacent to each other. Kell’s stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Celestine,Geminae Superia,,heal:summonHp+summonHp,,N,"Owner-confirmed: Geminae Superia takes the damage Celestine would take (after her Armour) as Direct damage. Summoned twice per battle, so two Geminae count as extra health.","When attacked, summons a Geminae Superia in a free adjacent hex, and immediately triggers its passive ability Lifewards. Can do this twice per battle. Geminae Superia’s stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Certus,Camo Cloak,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Whenever an incoming ranged attack has its number of hits reduced for any reason, it deals -{[dmgReduction]} Damage per hit to this unit."
Cezare,Red Rampage,extra:1:melee,,,N,Hits adjacent enemies every turn (after moving or at the end of his turn).,"After moving, Cezare deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power to all adjacent enemies. If he does not move, this attack triggers at the end of his turn. If Cezare defeats at least one enemy unit during his turn, he gains +{[extraMovement]} Movement until the end of his next turn."
Commander Farsight,Way of the Short Blade,follow:ranged,,,N,His melee attacks are followed by a normal ranged attack. The buff to other characters is not counted.,"Normal ranged attacks of other friendly Characters within {[range]} hexes against enemies that are adjacent to a friendly Character ignore {[armorIgnored]} Armour and deal +{[extraDmgPct]}% Damage, except attacks that deal Psychic Damage. Commander Farsight and other friendly T'au Empire Characters within {[range]} hexes that perform a melee attack immediately perform a normal ranged attack against the same unit, even if they are adjacent to it."
Commander Shadowsun,Defender of the Greater Good,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Friendly units adjacent to Shadowsun or her Command-Link Drone deal +{[extraDmg]} Damage with ranged attacks, except attacks that deal Psychic Damage. Affected attacks also have a chance to score an additional hit. This chance is {[chance]}% for each round in which Shadowsun has been on the battlefield. Friendly T'au Empire units within 2 hexes of Shadowsun or her Command-Link Drone are also affected by this ability."
Commissar Yarrick,Summary Execution,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Friendly units with Battle Fatigue gain +{[extraDmg]} Damage. The first time a friendly unit would flee due to Battle Fatigue, it is executed instead and all other friendly units with the trait ignore it and gain an additional +{[extraDmg_2]} Damage."
Corrodius,Cursed Plague Bell,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",Friendly Chaos units starting their turn within Corrodius' Contagion aura gain +{[extraMovement]} Movement for this turn. Enemy Psyker units within Corrodius' Contagion aura deal {[nrOfHits]}x {[dmg]} Psychic Damage to themselves each time one of their attacks deals Psychic Damage.
Cyrus,Haywire Mine,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","When moving, Cyrus places a Haywire Mine on the hex he started his move on. Enemies moving onto a Haywire Mine take {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Blast. Mechanical enemies take an additional {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Energy. If Cyrus does not move, he places a Haywire Mine in a free adjacent hex at the end of his turn. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Dante,Lord of the Host,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",Other friendly units within {[range]} hexes with Rapid Assault or Flying deal +{[extraDmg]} Damage with melee attacks. Affected units that are at or below {[healthPct]}% Health also score an additional hit with melee attacks.
Darkstrider,Structural Analyser,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",Units hit by ranged attacks from Darkstrider receive a Markerlight for one round. Friendly units adjacent to Darkstrider deal +{[extraDmg]} Damage with ranged attacks against targets with a Markerlight. Friendly T'au Empire units within 2 hexes of Darkstrider are also affected.
Deathleaper,Feeder Tendrils,flat:extraDmg:melee@trig,heal:hpToHeal@trig,,N,"Only when charging, so only with traits triggered.","When charging, the Deathleaper deals +{[extraDmg]} Damage, heals for {[hpToHeal]} Health and Suppresses the target for 1 round."
Eldryon,Doom,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",All enemy units exactly {[range]} hexes away from Eldryon take +{[extraDmg]} Damage from other friendly unit's normal attacks. Other friendly Aeldari units deal +{[extraDmg_2]} Damage with all their attacks to affected units instead.
Exitor-Rho,Optimised Gait,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Whenever an enemy adjacent to Exitor-Rho is attacked by another friendly Mechanical unit, Exitor-Rho deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Energy Damage to that enemy. If an enemy adjacent to Exitor-Rho is defeated by a friendly Mechanical unit or an attack triggered from this ability, Exitor-Rho moves onto its hex."
Forcas,Enmity for the Unworthy,pct:extraDmgPct:melee,,,N,+% per adjacent unit: counted for the melee target only. Dark Angel bonus not counted.,Forcas deals +{[extraDmgPct]}% Damage for each adjacent unit and additionally +{[extraDmg]} Damage for each adjacent friendly Dark Angel.
Gibbascrapz,Kustom Force Field,,armour:extraArmor_2,,N,"The Ork amount, as he is an Ork.","All friendly adjacent units have +{[extraArmor]} Armour. Gibbascrapz and other friendly adjacent Orks have +{[extraArmor_2]} Armour instead and ignore Battle Fatigue, if they have it."
Haarken Worldclaimer,Head-Claimer,,,,N,Builds up with kills.,"For each enemy unit that Haarken has defeated, his attacks deal +{[extraDmg]} Damage for the rest of the battle. For each enemy Character that he has defeated, his attacks also score +{[extraHit]} hit for the rest of the battle."
Hascule,Ecstatic Slaughter,,,,N,Only when Thrilled or an adjacent enemy is Overkilled.,"When Hascule becomes Thrilled or every time an enemy unit adjacent to him is Overkilled, Hascule deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerating Damage to an adjacent enemy unit. If the enemy survives, it is Taunted for {[nrOfRounds]} round."
Havyr,Fury from the Dêlve,,,,N,Extra attack only vs targets at or below 50% health.,"Hâvyr's normal attacks Suppress enemies that are at more than {[hpPct]}% Health. After performing a normal attack against enemies that are at or below {[hpPct]}% Health, Hâvyr performs an additional attack against them, dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerate."
High Marshal Helbrecht,Destroy The Witch,flat:extraDmg:melee:vsPsyker,,,N,Melee vs Psykers only.,Gains +{[extraMovement]} Movement when there’s an enemy Psyker on the battlefield. This unit and friendly adjacent units deal +{[extraDmg]} Damage with melee attacks against Psykers.
Hollan,Twisted Science,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Units healed by Hollan, other than himself, are affected by Twisted Science until they are defeated. Hollan can heal other unaffected units even if they are at full Health. Affected units immediately gain {[hp]} Health and their maximum Health increases by the same amount. If they are a Genestealer Cults unit, they also deal +{[extraDmg]} Damage while affected. Affected units cannot gain the effects of Twisted Science again."
Imospekh,Inescapable Death,,,,N,Only while Overwatching.,"Imospekh deals +{[extraDmg]} Damage while Overwatching. When Imospekh defeats a unit while Overwatching, they stay in Overwatch, retaining {[hitsReduction]} fewer hits compared to the previous attack."
Incisus,Narthecium,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","When an adjacent friendly non-Mechanical unit is defeated, it is immediately revived with a maximum of {[hp]} Health, unless Overkilled. Can only be triggered once per turn."
Isaak,Decoys and Misdirection,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","When an enemy moves onto a friendly decoy, it takes {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Blast Damage. When a friendly unit resurrects onto or moves onto a friendly decoy, it deals +{[extraDmg]} Damage until the end of its turn, and if it is a Genestealer Cults unit, it also places a new decoy in a free adjacent hex."
Isabella,Medicus Ministorum,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Any friendly adjacent non-mechanical unit that takes Damage regenerates {[hpToHeal]} Health afterwards, unless it is defeated."
Jain Zar,Terror's Lament,,flat:dmgReduction:melee;hitsless:hitsReduction:melee,,N,Adjacent enemies (melee attackers) deal less and lose a hit.,"Adjacent enemy units deal -{[dmgReduction]} Damage and have -{[hitsReduction]} hits with melee attacks, to a minimum of 1."
Judh,Hypersensory Abilities,,cap_first:hpPct,,N,The first attack each enemy turn can take at most half her health. The counter-attack is not counted.,"The first time each enemy turn that Judh is attacked, she cannot fall below {[hpPct]}% of her current Health. After the attack, she moves to a free adjacent hex and places a decoy on the hex she moved from. Then, if she is within {[range]} hexes of the unit that attacked her, she deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Projectile Damage to that unit."
Kariyan,Legacy Of Combat,extra:1:melee,,,N,Extra attack after his first attack each turn (Power to adjacent enemies). The Big Target version is not counted.,"After performing his first attack each turn, Kariyan performs an additional attack. If he is adjacent to an enemy Big Target, this attack deals {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Piercing Damage to it. If there is no adjacent enemy Big Target, Kariyan deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to each adjacent enemy instead."
Kharn,The Betrayer,extra:1,,,N,Second attack after every normal attack. The automatic move-and-attack after a kill is not counted.,"After performing a normal attack, Khârn performs a second attack against an adjacent enemy, dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerating Damage. If Khârn has defeated an enemy this battle, at the start of his turn, he automatically moves up to {[range]} hexes towards the nearest unit and then deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerating Damage to an adjacent unit. Khârn prefers enemies for this automatic move and attack, but targets friendly units if no enemy is in range."
Kimm,Modified Exoarmour,,flat:dmgReduction:after,,N,Counted as one stack from the second attack on; more stacks not counted.,"Kîmm takes -{[dmgReduction]} Damage for each time she was attacked this turn. When Kîmm charges an enemy, all units with Prioritised Efficiency that traverse 3 or more hexes this turn deal +{[extraDmgPct]}% Damage until the end of this turn."
Kut Skoden,Avalanche of Muscle,flat:extraDmg:melee@trig,,,N,"Only when charging, so only with traits triggered.",Deals +{[extraDmg]} Damage when charging.
Laviscus,Refusal to be Outdone,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Friendly characters attacking enemies adjacent to Laviscus increase his Outrage equal to the highest damage dealt by any of their non-psychic hits this turn. Laviscus' Damage stat is increased by {[extraDmgPct]}% of his Outrage and his normal attacks deal an additional +{[extraCritDmg]} Crit Damage for each friendly Chaos character that increased his Outrage this turn. At the end of his turn or after Laviscus performs a normal attack, his Outrage resets."
Lhykhis,Whispering Web,ramp:extraDmg:after,,,N,Her ranged attack marks the target; from then on each hit deals more than the last.,"When Lhykhis performs a normal ranged attack against an enemy, that enemy is affected by Whispering Web until Lhykhis is defeated or performs a normal ranged attack against a different unit. When a friendly character attacks an affected enemy, each hit in the same attack deals +{[extraDmg]} more Damage than the previous hit."
Lucien,Visions of Heresy,extra:1,,,N,Second attack after every normal attack. Extra pierce at low health not counted.,"After performing a normal attack, Lucien performs a second attack targeting an enemy within range {[range]}, dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Bolter Damage. If Lucien is at or below {[healthPct]}% Health, all of his attacks have +{[extraPierceRatio]}% pierce ratio."
Lucius,Armour of Shrieking Souls,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","If Lucius is defeated by an enemy unit, that enemy becomes Elated. At the beginning of each of its turns, the affected unit loses {[minHp]}-{[maxHp]} Health and when it is defeated or leaves the battlefield, Lucius resurrects on the last hex the enemy was on with a maximum of {[hp]} Health."
Lysander,Icon of Obstinacy,flat:extraDmg,,dmgfromblock:chance,N,"+Damage for himself. The Armour when not attacking, and the Block-based part, are not counted. Gear: his +Damage also grows by 30% of his Block Damage.","Lysander and all friendly adjacent Terminator Armour units deal +{[extraDmg]} Damage. When they end their turn without attacking, they also have +{[extraArmor]} Armour until the beginning of their next turn. The additional Damage and Armour are further increased by {[chance]}% of the affected unit's current Block Damage value."
Macer,Skullsmasher,,,,N,Builds up as he loses health.,"Macer deals +{[extraDmg]} Damage for each {[hpPct]}% of his maximum Health he is currently missing. In addition, if Macer has defeated an enemy this battle, all enemies he attacks become Stunned."
Makhotep,Relentless March,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",Gives +1 Movement to all friendly units that start their turn in an adjacent hex. Also repairs affected Mechanical units for {[hpToRepair]} Health.
Maladus,Haze of Corruption,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","When {[UnitName]} attacks and defeats a unit, any leftover Damage and an additional {[nrOfHits]}x {[extraDmg]} Toxic Damage is dealt to a random enemy adjacent to both {[UnitName]} and his initial target. If this unit is also defeated, this ability triggers again, dealing Damage to an additional unit adjacent to both {[UnitName]} and his initial target."
Marneus Calgar,Rites of Battle,,,,N,Buffs adjacent allies only.,Adjacent friendly units gain +{[extraDmg]} Damage. Imperial units gain +{[extraDmg_2]} Damage instead.
Marshal Dreir,Tough to Kill,,,critreduce:critChanceReduction/critDmgReduction,N,Regenerates at the start of his own turn; crit reductions (no crits here). Gear: attackers crit less and for less.,"At the beginning of his turn, Dreir regenerates {[hpToHeal]} Health. All attacks against Dreir have -{[critChanceReduction]}% Crit Chance and deal -{[critDmgReduction]} Crit Damage."
Mataneo,Aggressive Onslaught,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","When charging, Mataneo summons {[nrOfSummons]} Jump Pack Intercessors adjacent to and immediately attacking his target. At the beginning of each of Mataneo's turns, if he is still on the battlefield, all Jump Pack Intercessors summoned this way leave the battlefield. Jump Pack Intercessor stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Maugan Ra,Inescapable Accuracy,,,critchance:extraCritChance:ranged@trig;critdmg:extraCritDmg:ranged@trig,N,Crit bonus (no gear) and ignoring hit reductions only if he has not moved. Gear: crit bonus only if he has not moved (All triggered).,"If Maugan Ra has not moved, then his ranged attacks ignore hit reductions, have +{[extraCritChance]}% Crit Chance, and deal an additional {[extraCritDmg]} Crit Damage. Inescapable Accuracy applies to targets of Harvester of Souls as well as attacks triggered by Overwatch."
Mephiston,Fury of the Ancients,extra:1:melee,,,N,Hits an adjacent enemy every turn.,"After moving, deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Psychic Damage to an adjacent enemy and an additional enemy adjacent to the initial one. For 2 rounds, affected units cannot be revived, healed, repaired, nor otherwise restore Health. If Mephiston does not move, this ability triggers at the end of his turn."
Morvenn Vahl,Righteous Repugnance,extra:1:melee,,,N,Extra Power hits on normal melee attacks. Hits on other enemies not counted.,"Normal melee attacks deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to the target and to all enemy units adjacent to both the target and to Morvenn Vahl. When Morvenn Vahl defeats a unit with a melee attack, it has a {[chance]}% chance to count twice for Act of Faith."
Nauseous Rotbone,Tainted Narthecium,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","An adjacent friendly Chaos unit that is defeated has a {[chance]}% chance to be revived with a maximum of {[hp]} Health, even if Overkilled. Can only be triggered once per turn."
Neurothrope,Neuroparasite,flat:extraDmg:after,,,N,Counts one Neuroparasite level (+Damage) from his second attack on; higher levels not counted.,"Each enemy that is dealt Psychic Damage by the Neurothrope is infected by a Neuroparasite until either the unit is healed or the Neurothrope is defeated. Whenever a unit infected with a Neuroparasite takes Psychic Damage or becomes affected by an attack or ability that would Suppress it, the level of the Neuroparasite increases by 1, up to a maximum of {[buffMaxLevel]}. Psychic Damage dealt by the Neurothrope is increased by +{[extraDmg]} Damage for each level of a Neuroparasite on the target."
Nicodemus,Sanguinary Priest,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","After moving, all adjacent friendly non-mechanical units regenerate {[hpToHeal]}-{[maxHpToHeal]} Health. If Nicodemus does not move, this ability triggers at the end of his turn."
Njal,Lord Of Tempests,,,,N,Needs Ice around him.,Njal's normal attacks deal +{[extraDmg]} Damage for each hex surrounding him that is covered in Ice. The hex of each enemy that is hit by Njal's normal attacks is covered in Ice at the end of the attack.
Nubari,Crucible of Battle,flat:extraDmg:melee;flat:extraDmg_2::vsBigTarget,,,N,+Damage to adjacent enemies (melee) and to Big Targets. The Stunned/Fire bonus is not counted.,Deals +{[extraDmg]} Damage to enemies in surrounding hexes. Deals +{[extraDmg_2]} Damage to Big Targets. Deals +{[extraDmg_3]} Damage to enemies that are Stunned or on hexes with Fire.
Parasite of Mortrex,Barbed Ovipositor,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",When the Parasite of Mortrex defeats a unit it targeted that is not Mechanical it summons a Ripper Swarm in the defeated unit's hex. Ripper Swarm stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour
Pestillian,Explosive Maladies,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",Friendly units adjacent to Pestillian deal an additional {[nrOfHits]}x {[extraDmg]} Blast Damage with their normal ranged attacks. Friendly Chaos units adjacent to Pestillian also deal this damage with normal melee attacks. Enemies defeated by affected attacks are always overkilled.
Ragnar,Saga of the Warrior Born,hits:extraHits:melee@trig,,critdmg:extraCritDmg:melee@trig,N,"Only when charging, so only with traits triggered. Crit bonus not counted (no gear). Gear: extra Crit Damage when charging (All triggered).","When charging, Ragnar scores {[extraHits]} additional hits and his critical hits deal an additional +{[extraCritDmg]} Crit Damage. If Ragnar has defeated one or more enemy Characters this battle, friendly Space Wolves also gain this ability."
Ramus,Special-Issue Combi-Melta,flat:extraDmg:melee;extra:1:ranged,,,N,Melee = target in a surrounding hex (+Damage). Ranged counted at exactly 2 hexes (+1 Bolter hit).,"Ramus' normal attacks are enhanced, based on the distance to his target: Attacks Suppress the target if it is exactly 3 hexes away from him. Attacks deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Bolter if the target is exactly 2 hexes away from him. Attacks deal +{[extraDmg]} Damage if the target is in a surrounding hex."
Re'vas,Cyclic Ion Blaster,extra:1,,,N,+3 Particle hits on every attack. The bonus vs Mechanical/Markerlight targets is not counted.,All attacks deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Particle Damage. If the target has a Markerlight or the Mechanical trait these hits deal +{[extraDmg]} Damage.
Roswitha,Condemnor Stake,flat:extraDmg::vsPsyker,,,N,vs Psykers only.,Deals +{[extraDmg]} Damage against Psykers.
Sarquael,Grim Retribution,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","During each enemy turn, if there is no enemy adjacent to Sarquael, he shoots back at the first enemy within range that attacked him or a friendly adjacent Dark Angel. This shot counts as Overwatch and deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Plasma Damage."
Sekhetar,Prophetic Sentinel,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Adjacent friendly Chaos units have +{[extraArmor]} Armour. Adjacent friendly Psykers have +{[blockChance]}% Block chance and block +{[blockDmg]} Damage. At the end of its turn, if the Sekhetar Robot is adjacent to a friendly Psyker, it starts Overwatching, even if it attacked during its turn."
Shiron,Terrifying Crescendo,,,,N,Builds up with Overkills/Suppressions.,"Shiron's ranged attacks deal +{[extraDmg]} Damage for each time he Overkilled or would have Suppressed an enemy unit, up to a maximum of {[buffMaxLevel]} times."
